n,simetrica3,frente2,traz2,simetrica5,d2simetrica5,d3anti5
0.5000000000,                 13.39930,                 21.00133,                  5.79728,                 14.75200,                102.80439,                639.04986
0.2000000000,                 -8.78506,                -21.34241,                  3.77229,                -17.86871,               -125.22591,               2034.06270
0.1000000000,                 -1.27541,                 -4.92612,                  2.37530,                  1.22781,                  8.60380,               -830.41479
0.0500000000,                 -0.28863,                 -1.94152,                  1.36425,                  0.04029,                  0.28233,               -117.90524
0.0200000000,                 -0.04499,                 -0.68912,                  0.59914,                  0.00090,                  0.00630,                -16.79086
0.0100000000,                 -0.01121,                 -0.33209,                  0.30968,                  0.00005,                  0.00039,                 -4.13253
0.0050000000,                 -0.00280,                 -0.16309,                  0.15750,                  0.00000,                  0.00003,                 -1.02915
0.0020000000,                 -0.00045,                 -0.06455,                  0.06365,                 -0.00000,                  0.00000,                 -0.16451
0.0010000000,                 -0.00011,                 -0.03216,                  0.03194,                 -0.00000,                  0.00000,                 -0.04114
0.0005000000,                 -0.00003,                 -0.01605,                  0.01600,                 -0.00000,                  0.00000,                 -0.01031
0.0002000000,                 -0.00000,                 -0.00641,                  0.00640,                 -0.00000,                  0.00000,                 -0.00173
0.0001000000,                 -0.00000,                 -0.00321,                  0.00320,                 -0.00000,                  0.00000,                 -0.00070
0.0000500000,                 -0.00000,                 -0.00160,                  0.00160,                 -0.00000,                  0.00000,                  0.00196
0.0000200000,                 -0.00000,                 -0.00064,                  0.00064,                 -0.00000,                  0.00000,                  0.05170
0.0000100000,                 -0.00000,                 -0.00032,                  0.00032,                 -0.00000,                  0.00001,                 -0.72545
0.0000050000,                 -0.00000,                 -0.00016,                  0.00016,                 -0.00000,                 -0.00004,                  4.49259
0.0000020000,                 -0.00000,                 -0.00006,                  0.00006,                 -0.00000,                  0.00005,                -50.13038
0.0000010000,                 -0.00000,                 -0.00003,                  0.00003,                 -0.00000,                 -0.00049,                  5.38077
0.0000005000,                 -0.00000,                 -0.00002,                  0.00002,                 -0.00000,                  0.00145,              -2881.19909
0.0000002000,                 -0.00000,                 -0.00001,                  0.00001,                 -0.00000,                 -0.00687,             -27084.06103
0.0000001000,                 -0.00000,                 -0.00000,                  0.00000,                 -0.00000,                  0.04401,            -554439.99773
0.0000000500,                 -0.00000,                 -0.00000,                  0.00000,                 -0.00000,                 -0.35382,             888849.93429
0.0000000200,                 -0.00000,                 -0.00000,                  0.00000,                 -0.00000,                 -0.52590,                671.51459
0.0000000100,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,                -15.46766,          444089881.36465
0.0000000050,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,                 49.29535,                671.51459
0.0000000020,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,               -245.83893,        97144515326.21576
0.0000000010,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,                341.65408,                671.51459
0.0000000005,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,              -3784.67482,       888178420371.63965
0.0000000002,                 -0.00000,                 -0.00000,                 -0.00000,                 -0.00000,              -3636.64509,    -13877787807142.94141
0.0000000001,                  0.00000,                  0.00000,                  0.00000,                  0.00000,             -12888.50363,   -222044604924359.78125
